Column1,وحدات معتمدة,الرقم,رمز المادة,أسم المادة,اجتاز المقرر,سلسلة المتطلبات,سلسلة المتطلبات2,اجتاز سلسلة المتطلبات,المستوى,طول سلسلة المتطلبات,عدد المواد المتطلبة,هل لها متطلب المستوى التالي,توفر المقرر,1سلسلة المتطلبات,متطلب لمشروع التخرج
17,3,104,ENGL,مهارات الاتصال,FALSE,"مهارات اللغة الإنجليزية (1) , مهارات اللغة الإنجليزية (2) , مهارات الكتابة",مهارات الكتابة الفنية,TRUE,5,3,1,FALSE,الفصل الثاني,"مهارات اللغة الإنجليزية (1) , مهارات اللغة الإنجليزية (2) , مهارات الكتابة",FALSE
18,2,112,GS,مهارات اللغة العربية (2),FALSE,مهارات اللغة العربية (1),,TRUE,5,1,0,FALSE,الفصل الثاني,مهارات اللغة العربية (1),FALSE
15,4,104,PHYS,فيزياء (2),FALSE,"مقدمة في الفيزياء , فيزيـــــــاء (1)",,TRUE,6,1,0,FALSE,الفصل الثالث,"مقدمة في الفيزياء , فيزيـــــــاء (1)",FALSE
16,3,204,MATH,تفاضل وتكامل (2),FALSE,"مقدمة في الرياضيات , تفـاضل وتكامل ( 1 )  ",معادلات تفاضلية (1),TRUE,6,2,1,FALSE,الفصل الثالث,"مقدمة في الرياضيات , تفـاضل وتكامل ( 1 )  ",FALSE
19,4,112,CS,برمجة (2),FALSE,برمجة (1),الخوارزميات وتراكيب البيانات,TRUE,6,4,1,TRUE,كلهم,برمجة (1),TRUE
21,4,211,COE,تصميم المنطق الرقمي,FALSE,تراكيب متقطعة,تنظيم وبناء الحاسب الآلي ( 1 ),TRUE,7,4,1,FALSE,الفصل الأول,تراكيب متقطعة,TRUE
22,4,211,CS,الخوارزميات وتراكيب البيانات,FALSE,"برمجة (1),برمجة (2)","نظم التشغيل,نظم قواعد البيانات,النظم الذكية,الرسم بالحاسب",TRUE,7,4,4,FALSE,كلهم,"برمجة (1),برمجة (2)",TRUE
26,3,100,SCI,اختياري علوم طبيعية,FALSE,,,TRUE,7,0,0,FALSE,الفصل الأول,,FALSE
23,3,281,CS,مقدمة في هندسة البرمجيات,FALSE,برمجة (1),تحليل ونمذجة البرمجيات,TRUE,8,2,1,TRUE,الفصل الثاني,برمجة (1),TRUE
27,3,214,ENGL,مهارات الكتابة الفنية,FALSE,"مهارات اللغة الإنجليزية (1), مهارات اللغة الإنجليزية (2), مهارات الكتابة,مهارات الاتصال",,TRUE,8,0,0,FALSE,الفصل الثاني,"مهارات اللغة الإنجليزية (1) , مهارات اللغة الإنجليزية (2) , مهارات الكتابة,مهارات الاتصال",FALSE
